schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,home_favorite,away_favorite,over,team_away_current_win_pct,team_home_current_win_pct,team_home_lastseason_win_pct,team_away_lastseason_win_pct,team_home_division,team_away_division,division_game,elo_prob1,elo_prob2,result
2014-10-19,2014,7,0,OAK,13.0,24.0,ARI,ARI,-3.5,46.5,Oakland Coliseum,0,70.0,14.0,,,0,1,0.0,0.8,0.0,0.25,0.625,AFC West,NFC West,0,0.22071280899999998,0.779287191,0
2002-12-15,2002,15,0,LAR,30.0,28.0,ARI,LAR,-11.0,43.0,Edward Jones Dome,0,72.0,0.0,,DOME,1,0,1.0,0.38461538461538464,0.38461538461538464,0.875,0.4375,NFC West,NFC West,1,0.7982155540000001,0.201784446,1
2003-09-28,2003,4,0,LAR,37.0,13.0,ARI,LAR,-11.5,45.5,Edward Jones Dome,0,72.0,0.0,,DOME,1,0,1.0,0.3333333333333333,0.3333333333333333,0.4375,0.3125,NFC West,NFC West,1,0.766898368,0.233101632,1
2004-09-12,2004,1,0,LAR,17.0,10.0,ARI,LAR,-11.0,46.0,Edward Jones Dome,0,72.0,0.0,,DOME,1,0,0.0,0.0,0.0,0.75,0.25,NFC West,NFC West,1,0.8106383090000001,0.18936169100000003,1
2005-11-20,2005,11,0,LAR,28.0,38.0,ARI,LAR,-9.0,48.0,Edward Jones Dome,0,72.0,0.0,,DOME,1,0,1.0,0.2222222222222222,0.4444444444444444,0.5,0.375,NFC West,NFC West,1,0.735635705,0.264364295,0
2006-12-03,2006,13,0,LAR,20.0,34.0,ARI,LAR,-6.5,47.0,Edward Jones Dome,0,72.0,0.0,,DOME,1,0,1.0,0.18181818181818182,0.45454545454545453,0.375,0.3125,NFC West,NFC West,1,0.719899273,0.280100727,0
2007-10-07,2007,5,0,LAR,31.0,34.0,ARI,ARI,-3.5,41.0,Edward Jones Dome,0,72.0,0.0,,DOME,0,1,1.0,0.5,0.0,0.5,0.3125,NFC West,NFC West,1,0.50079583,0.49920417,0
2008-11-02,2008,9,0,LAR,13.0,34.0,ARI,ARI,-3.0,50.0,Edward Jones Dome,0,72.0,0.0,,DOME,0,1,0.0,0.5714285714285714,0.2857142857142857,0.1875,0.5,NFC West,NFC West,1,0.42856366700000004,0.571436333,0
2009-11-22,2009,11,0,LAR,13.0,21.0,ARI,ARI,-9.0,47.0,Edward Jones Dome,0,72.0,0.0,,DOME,0,1,0.0,0.6666666666666666,0.1111111111111111,0.125,0.5625,NFC West,NFC West,1,0.201121402,0.7988785979999999,0
2010-09-12,2010,1,0,LAR,13.0,17.0,ARI,ARI,-3.0,39.5,Edward Jones Dome,0,72.0,0.0,,DOME,0,1,0.0,0.0,0.0,0.0625,0.625,NFC West,NFC West,1,0.293745503,0.706254497,0
2011-11-27,2011,12,0,LAR,20.0,23.0,ARI,LAR,-2.5,40.0,Edward Jones Dome,0,72.0,0.0,,DOME,1,0,1.0,0.3,0.2,0.4375,0.3125,NFC West,NFC West,1,0.522407842,0.477592158,0
2012-10-04,2012,5,0,LAR,17.0,3.0,ARI,ARI,-1.5,38.0,Edward Jones Dome,0,72.0,0.0,,DOME,0,1,0.0,1.0,0.5,0.125,0.5,NFC West,NFC West,1,0.359848803,0.640151197,1
2013-09-08,2013,1,0,LAR,27.0,24.0,ARI,LAR,-3.5,41.5,Edward Jones Dome,0,72.0,0.0,,DOME,1,0,1.0,0.0,0.0,0.4666666666666667,0.3125,NFC West,NFC West,1,0.651747431,0.348252569,1
2014-12-11,2014,15,0,LAR,6.0,12.0,ARI,LAR,-6.0,40.5,Edward Jones Dome,0,72.0,0.0,,DOME,1,0,0.0,0.7692307692307693,0.46153846153846156,0.4375,0.625,NFC West,NFC West,1,0.46677667100000003,0.533223329,0
2015-12-06,2015,13,0,LAR,3.0,27.0,ARI,ARI,-3.5,43.0,Edward Jones Dome,0,72.0,0.0,,DOME,0,1,0.0,0.8181818181818182,0.36363636363636365,0.375,0.6875,NFC West,NFC West,1,0.262329795,0.737670205,0
2017-01-01,2016,17,0,LAR,6.0,44.0,ARI,ARI,-7.0,39.0,Los Angeles Memorial Coliseum,0,56.0,1.0,,,0,1,1.0,0.42857142857142855,0.26666666666666666,0.4375,0.8125,NFC West,NFC West,1,0.37417759799999994,0.625822402,0
2017-10-22,2017,7,0,LAR,33.0,0.0,ARI,LAR,-3.0,46.0,Twickenham Stadium,1,52.0,9.0,,,1,0,0.0,0.5,0.6666666666666666,0.25,0.4666666666666667,NFC West,NFC West,1,0.467855553,0.5321444470000001,1
2018-09-16,2018,2,0,LAR,34.0,0.0,ARI,LAR,-13.5,43.5,Los Angeles Memorial Coliseum,0,86.0,2.0,,,1,0,0.0,0.0,1.0,0.6875,0.5,NFC West,NFC West,1,0.737902312,0.262097688,1
2002-01-06,2001,17,0,WAS,20.0,17.0,ARI,WAS,-3.5,36.5,FedEx Field,0,35.0,9.0,65,,1,0,1.0,0.4666666666666667,0.4666666666666667,0.5,0.1875,NFC East,NFC West,0,0.7446143890000001,0.255385611,1
2002-09-08,2002,1,0,WAS,31.0,23.0,ARI,WAS,-6.0,44.5,FedEx Field,0,73.0,5.0,70,,1,0,1.0,0.0,0.0,0.5,0.4375,NFC East,NFC West,0,0.708525538,0.291474462,1
2007-10-21,2007,7,0,WAS,21.0,19.0,ARI,WAS,-8.0,36.0,FedEx Field,0,65.0,7.0,53,,1,0,1.0,0.5,0.6,0.3125,0.3125,NFC East,NFC West,0,0.635714376,0.364285624,1
2008-09-21,2008,3,0,WAS,24.0,17.0,ARI,WAS,-3.0,43.5,FedEx Field,0,68.0,4.0,60,,1,0,0.0,1.0,0.5,0.5625,0.5,NFC East,NFC West,0,0.616395083,0.38360491700000005,1
2011-09-18,2011,2,0,WAS,22.0,21.0,ARI,WAS,-4.5,45.0,FedEx Field,0,66.0,7.0,71,,1,0,0.0,1.0,1.0,0.375,0.3125,NFC East,NFC West,0,0.670039015,0.329960985,1
2017-12-17,2017,15,0,WAS,20.0,15.0,ARI,WAS,-4.0,40.0,FedEx Field,0,50.0,1.0,,,1,0,0.0,0.46153846153846156,0.38461538461538464,0.5333333333333333,0.4666666666666667,NFC East,NFC West,0,0.5882713079999999,0.411728692,1
2007-12-16,2007,15,0,NO,31.0,24.0,ARI,NO,-3.5,49.5,Louisiana Superdome,0,72.0,0.0,,DOME,1,0,1.0,0.46153846153846156,0.46153846153846156,0.625,0.3125,NFC South,NFC West,0,0.675311632,0.324688368,1
2010-01-16,2009,19,1,NO,45.0,14.0,ARI,NO,-7.0,57.0,Louisiana Superdome,0,72.0,0.0,,DOME,1,0,1.0,0.625,0.8125,0.5,0.5625,NFC South,NFC West,0,0.688309402,0.311690598,1
2013-09-22,2013,3,0,NO,31.0,7.0,ARI,NO,-7.5,49.5,Louisiana Superdome,0,72.0,0.0,,DOME,1,0,0.0,0.5,1.0,0.4375,0.3125,NFC South,NFC West,0,0.7610830129999999,0.238916987,1
2003-11-09,2003,10,0,PIT,28.0,15.0,ARI,PIT,-7.0,40.5,Heinz Field,0,31.0,7.0,49,,1,0,1.0,0.375,0.25,0.6666666666666666,0.3125,AFC North,NFC West,0,0.691917605,0.308082395,1
2015-10-18,2015,6,0,PIT,25.0,13.0,ARI,ARI,-5.5,45.0,Heinz Field,0,42.0,8.0,,,0,1,0.0,0.8,0.6,0.6875,0.6875,AFC North,NFC West,0,0.5600952370000001,0.439904763,1
2007-11-04,2007,9,0,TB,17.0,10.0,ARI,TB,-3.5,39.0,Raymond James Stadium,0,67.0,6.0,59,,1,0,0.0,0.42857142857142855,0.5,0.25,0.3125,NFC South,NFC West,0,0.636436605,0.363563395,1
2013-09-29,2013,4,0,TB,10.0,13.0,ARI,TB,-2.5,40.0,Raymond James Stadium,0,84.0,7.0,55,,1,0,0.0,0.3333333333333333,0.0,0.4375,0.3125,NFC South,NFC West,0,0.634680606,0.36531939399999996,0
2003-09-07,2003,1,0,DET,42.0,24.0,ARI,DET,-3.5,39.0,Ford Field,0,72.0,0.0,,DOME,1,0,1.0,0.0,0.0,0.1875,0.3125,NFC North,NFC West,0,0.5494014429999999,0.450598557,1
